price_count,seller_name,price,nnumber,qa_count,snumber,seller_score,content,seller_logint,title
"
出價紀錄(0)
            ",3cfun80204667,"38,500",3,"
問與答(2)
            ",0,77,,上次登入：2016-06-04,2016 新款 MacBook 12吋 1.1G 8G 256G SSD 玫瑰金 台灣公司貨中文鍵盤 現貨供應中
"
出價紀錄(16)
            ",itnken,600,49,"
問與答(6)
            ",16,13706,,上次登入：2016-06-05,英特奈 ACER 宏碁 Aspire S3-391 S3-951 S5-391  繁體 中文 鍵盤 S3
"
出價紀錄(16)
            ",itnken,"3,150",8,"
問與答(19)
            ",12,13706,,上次登入：2016-06-05,英特奈 IBM ThinkPad X200 輕薄 12.1吋 雙核心筆電 P8600 2.4G  2G Ram 120G
"
出價紀錄(45)
            ",itnken,430,40,"
問與答(28)
            ",34,13706,,上次登入：2016-06-05,全新 華碩 ASUS K40ID K40IE K40IJ K40IL K40IN K40IP P81IJ 繁體中文 鍵盤 原廠鍵盤 筆電 筆電鍵盤 中文鍵盤 英文
"
出價紀錄(2405)
            ",zzz8951017,80,960,"
問與答(39)
            ",2084,5413,,上次登入：2016-06-04,9H 弧邊強化玻璃鋼化玻璃貼保護膜手機套i5/iphone6+富可視 INFOCUS MOTO Tab 華碩A80 蝴蝶
"
出價紀錄(9)
            ",itnken,480,46,"
問與答(2)
            ",9,13706,,上次登入：2016-06-05,英特奈 宏碁 ACER Aspire AS V5-431P V5-431PG V5-431PG 繁體中文鍵盤 Ｋ４
"
出價紀錄(36)
            ",itnken,360,47,"
問與答(18)
            ",35,13706,,上次登入：2016-06-05,☆REOK☆ ASUS 華碩 X53B A55D X53K X53Q X53S X53T X53U X53Z P53E P53S A53B A53E A53S A53T A53U A53Z 繁體 中文 鍵盤
"
出價紀錄(103)
            ",biohazard,"6,149",91,"
問與答(204)
            ",86,3923,,上次登入：2016-06-04,[阿婆K鵝][盒裝版] AppleCare MacBook 11/13/air/Pro/Retina 延長保固 蘋果  
"
出價紀錄(22)
            ",wuchi1217,"2,500",1,"
問與答(45)
            ",19,1459,,上次登入：2016-06-04,ACER M670 Q8400 四核 4核 775 電腦 主機 可加 550TI 顯卡 玩 LOL 特效全開 暗黑3
"
出價紀錄(15)
            ",shylian686,"22,700",1,"
問與答(87)
            ",11,1520,,上次登入：2016-06-04,Acer E5-773G i5-6200U/4G/1TB/GT940M 2G/WIN10 17.3吋筆電
"
出價紀錄(336)
            ",googlemac,"6,100",45,"
問與答(1138)
            ",235,2005,,上次登入：2016-06-05,[盒裝]Applecare Macbook Air Pro 11吋12吋13吋retina apple care通用
"
出價紀錄(2)
            ",ppall2000,"9,500",3,"
問與答(7)
            ",2,462,,上次登入：2016-06-04,"[羅梅電腦]HP 8460P i5二代/1G獨顯商用筆電14""/4G/500G/W7 Pro-可換120G固態碟"
"
出價紀錄(5)
            ",yoyo58588,"7,490",5,"
問與答(4)
            ",1,163,,上次登入：2016-06-03, TOSHIBA R830 I3雙核[精修網]鋁鎂經典輕薄旗艦機i3-2310M/4G/320GB/WIN7/光碟燒錄
"
出價紀錄(4)
            ",erpdream,"5,100",1,"
問與答(3)
            ",5,488,,上次登入：2016-06-04,Lenovo X201 12.1吋筆電i5 520M /4G/320G/正版win7
"
出價紀錄(3)
            ",ez70559443,"8,800",2,"
問與答(6)
            ",3,550,,上次登入：2016-06-04,"[億耀科技]㊣保固壹年,全新電池,貨到付款,DELL E6320 I7-2620 13吋 240GB SSD(客製機)"
"
出價紀錄(3)
            ",lym1215,"99,999,999",1,"
問與答(16)
            ",3,5530,,上次登入：2016-06-04,【奇茂科技】+1元多一台平板 聯想 Lenovo Ideapad 300 14吋 I5 獨顯 WIN10【全新未拆】
"
出價紀錄(1)
            ",pinaaaaaa,"24,000",2,"
問與答(1)
            ",1,483,,上次登入：2016-06-05,晶來發 / 430 G2 /13.3/I5-5200U/8G/500G/W10&7/3Y/
"
出價紀錄(66)
            ",yuyu0913,210,932,"
問與答(48)
            ",67,9813,,上次登入：2016-06-04,蘋果 MacBook Air Pro Retina 12 11 13 15免裁切筆電液晶膜 霧面螢幕保護貼 低反光防暈眩
"
出價紀錄(34)
            ",avansa,"2,500",2,"
問與答(11)
            ",24,1498,,上次登入：2016-06-05,＊永明科技＊DELL D430 12吋 雙核1.33　2G記憶體 120G硬碟，空機僅1.17公斤
"
出價紀錄(1)
            ",kevinpro7,"15,500",2,"
問與答(2)
            ",0,1916,,上次登入：2016-06-05,華碩 ASUS X751SJ-0021AN3700 筆記型電腦
"
出價紀錄(5)
            ",slf1224,"4,988",1,"
問與答(4)
            ",3,253,,上次登入：2016-06-04,TOSHIBA-PORTEGE M600 筆電13吋win7 內附office
"
出價紀錄(227)
            ",f67920,400,28,"
問與答(110)
            ",224,17192,,上次登入：2016-06-05,全新 宏碁 Acer Aspire AS 4752Z 4752ZG 4745 4745G 4745Z 3820 3820G 3820T 3820TG 3820TZG 3820ZG 3935 AK01 繁體 中文 鍵盤
"
出價紀錄(204)
            ",kgikgi2004,168,36,"
問與答(106)
            ",199,1532,,上次登入：2016-06-04,[高保固期]華碩ASUS宏碁ACER 19V4.74A 3.95A3.42A 東芝ToshibaI技嘉 變壓器充電器
"
出價紀錄(398)
            ",baga456,"1,199",118,"
問與答(262)
            ",382,3787,,上次登入：2016-06-05,[專業銷售規劃] 促銷中 Parallels Desktop 10 for Mac 數位完整版 繁中 終身授權
"
出價紀錄(7)
            ",nive89,"3,999",45,"
問與答(8)
            ",5,1052,,上次登入：2016-06-05,高轉速7200轉硬碟+4M快取CPU/下殺3999元~超猛L7500雙核/2G/160G硬碟12吋霧面(僅1.5kg)
"
出價紀錄(3)
            ",slf1224,"5,000",1,"
問與答(6)
            ",3,253,,上次登入：2016-06-04,Asus w7E白色筆電 13.3吋win7附office
"
出價紀錄(8)
            ",slf1224,"6,000",1,"
問與答(26)
            ",5,253,,上次登入：2016-06-04,Acer aspire 4730筆記型電腦win7可玩線上遊戲
"
出價紀錄(27)
            ",sentrataxi,900,71,"
問與答(12)
            ",29,1796,,上次登入：2016-06-04,☆【 全新台達DELTA原廠 變壓器ADP-120MH 19.5V 6.15A 120W 】☆ GE60 GE7
"
出價紀錄(60)
            ",hsuan120,640,936,"
問與答(60)
            ",63,16520,,上次登入：2016-06-04,Dell E-Port 簡易連接埠擴充基座 底座 E6530 E6430 E6230 E6330 M4500 PR03X
"
出價紀錄(2)
            ",ez70559443,"5,200",3,"
問與答(9)
            ",2,550,,上次登入：2016-06-04,"[億耀科技520專案]㊣保固六個月,貨到付款,THINKPAD T410 商用雙核 I5 筆電"
"
出價紀錄(174)
            ",mode5555c,80,869,"
問與答(228)
            ",139,7445,,上次登入：2016-06-05,9H玻璃貼 鋼化膜 金鋼膜 玻璃膜 i5 touch4 sony Xperia z1compact z2a z2mini C3 m2 sp c s39h zultra T2 Ultra T3 背貼 後貼
"
出價紀錄(79)
            ",itnken,350,16,"
問與答(51)
            ",80,13706,,上次登入：2016-06-05,☆REOK☆ 宏碁 ACER 4810TG 4810TZG 4820G 4820T 4820TG 繁體 中文 鍵盤 Ｋ１
"
出價紀錄(12)
            ",little_samuelliu,80,97,"
問與答(8)
            ",46,22533,,上次登入：2016-06-03," *樂源* 蘋果 鍵盤膜macbook pro 13吋apple MAC Air 13 MacBook pro 15"""
"
出價紀錄(27)
            ",peter239,590,971,"
問與答(12)
            ",28,400,,上次登入：2016-06-04,"BASEQI : 鋁合金版神隱轉卡 Macbook AIR / Retina13, 15 專用"
"
出價紀錄(24)
            ",hsuan120,"1,120",975,"
問與答(47)
            ",24,16520,,上次登入：2016-06-04,ThinkPad Mini Dock Plus Series 3 加強型迷你船塢 170W 4338底座 433830U
"
出價紀錄(19)
            ",jerry125p,850,2,"
問與答(6)
            ",16,1768,,上次登入：2016-06-04,Apple macbook air 45w magsafe 電源供應器 充電器(L型/一代)副廠
"
出價紀錄(35)
            ",little_samuelliu,198,27,"
問與答(13)
            ",35,22533,,上次登入：2016-06-03,*樂源*mac 蘋果鍵盤膜macbook pro retina air 13吋13.3吋15.4吋 漸變彩色保護膜
"
出價紀錄(23)
            ",genming,"1,680",6,"
問與答(17)
            ",21,569,,上次登入：2016-06-04,[iSky] Apple原廠電池- 2011年 MACBOOK Air 11吋 / A1370 (A1406)送拆機工具
"
出價紀錄(71)
            ",biohazard,"4,199",82,"
問與答(99)
            ",68,3923,,上次登入：2016-06-04,[阿婆K鵝][代註冊] Applecare iMac 蘋果 原廠 延長保固 過保 維修 macbook 
"
出價紀錄(41)
            ",itnken,160,946,"
問與答(51)
            ",53,13706,,上次登入：2016-06-05,☆REOK☆ Lenovo 聯想 ThinkPad X200 X201 X201I 44C9550 44C9549 45N4782 60Y542 MCF-W08PAM05-1 CPU風扇 筆電風扇 散熱 NB風扇
"
出價紀錄(105)
            ",itnken,280,29,"
問與答(78)
            ",102,13706,,上次登入：2016-06-05,英特奈 宏碁 ACER Aspire one AO533 D257 AOD257 繁體 中文 鍵盤 D260
"
出價紀錄(81)
            ",lowtau,30,929,"
問與答(22)
            ",380,8883,,上次登入：2016-06-05,公版360張30元 1cm 圓形 QC PASSED 品管貼紙 易碎貼紙 蛋殼 貼紙 撕毀無效 易碎標籤PASSxx06
"
出價紀錄(25)
            ",hanghangxiaopu,289,76,"
問與答(15)
            ",24,3009,,上次登入：2016-06-04,土豪金 筆電殼 蘋果筆記本 macbook mac Pro 13吋 15吋 新款 retina 13吋 15吋 外殼 保護套 air 11吋 13吋 贈同款鍵盤膜
"
出價紀錄(1)
            ",ppall2000,"7,000",3,"
問與答(8)
            ",1,462,,上次登入：2016-06-04,"[羅梅電腦]HP 2560P 商用筆電 i5-2520M/12.5""/4G/500G/視訊/W7 Pro/3個月保固  "
"
出價紀錄(0)
            ",ppall2000,"8,800",1,"
問與答(0)
            ",0,462,,上次登入：2016-06-04,[羅梅電腦]華碩ASUS A40J i5-480M+2G獨顯筆電14吋/HD6570M/4GB/120G SSD/W7
"
出價紀錄(45)
            ",erpdream,"6,500",4,"
問與答(29)
            ",42,488,,上次登入：2016-06-04,"清倉價 鋁鎂合金14吋筆電 HP 8440p筆電i5系列(M520 .4G, 250G,DVDRW)"
"
出價紀錄(46)
            ",biohazard,100,6,"
問與答(5)
            ",36,3923,,上次登入：2016-06-04,[阿婆K鵝專賣店] Applecare刷卡一次付清用，金額要另加 2%
"
出價紀錄(165)
            ",mpathnet,60,561,"
問與答(48)
            ",438,13142,,上次登入：2016-06-04,【Mr&Miss】取代 OE907 OE128 永不返修 2R5901  acer msi sony nec 盒裝 解決 掉電 開機螢幕黑掉 超級電容 0E907 0E128 改版
"
出價紀錄(44)
            ",ikanolife,"1,050",55,"
問與答(27)
            ",45,592,,上次登入：2016-06-04,【ikanolife】Apple 60W 二代 電源供應器Mac book Pro 13 充電蘋果電腦插頭retina
"
出價紀錄(11)
            ",liaoarcher,350,993,"
問與答(0)
            ",6,12,,上次登入：2016-06-02,555 666 888 買家自付
"
出價紀錄(139)
            ",f67920,360,74,"
問與答(33)
            ",137,17192,,上次登入：2016-06-05,全新 華碩 ASUS K53B K53BE K53BR K53BY K53T K53TA K53TK K53U K53Z X53B X53BE X53BR X53BY X53T X53TA AS03 繁體 中文 鍵盤
"
出價紀錄(69)
            ",itnken,390,44,"
問與答(39)
            ",65,13706,,上次登入：2016-06-05,☆REOK☆ ACER 宏碁 Aspire AS E1-521 E1-531 E1-531G E1-571 E1-571G 9N.N3M82.J02 0KN0-YX1TW13 K571 繁體中文鍵盤
"
出價紀錄(7)
            ",heremountain,"8,800",3,"
問與答(17)
            ",6,35034,,上次登入：2016-06-05,【樺仔二手電腦】LENOVO T420 14吋商務機種 I5二代CPU/WIN7 Pro/ 4G記憶體/320G硬碟
"
出價紀錄(15)
            ",oscarcch,150,24,"
問與答(5)
            ",32,7762,,上次登入：2016-06-05,ACER DELL 筆電用 SATA 硬碟 轉接頭
"
出價紀錄(103)
            ",f67920,530,9,"
問與答(46)
            ",97,17192,,上次登入：2016-06-05,全新 華碩 ASUS K40 K40A K40AB K40AC K40AD K40AE K40AF K40C K40I K40ID K40IE K40IJ K40IL K40IN K40IP AS21 繁體 中文 鍵盤
"
出價紀錄(37)
            ",jac0243,"1,200",45,"
問與答(28)
            ",35,484,,上次登入：2016-06-05,【世傑資訊】送工具 全新Apple MacBook Pro A1278 13.3吋 63.5Wh A1322 原廠電池
"
出價紀錄(47)
            ",heremountain,"7,800",3,"
問與答(17)
            ",51,35034,,上次登入：2016-06-05,【樺仔二手電腦】Dell E6420 14吋 i5二代CPU 內建ATM晶片讀卡機 WIN7 Pro 鎂鋁合金商務筆電
"
出價紀錄(50)
            ",heremountain,"9,800",1,"
問與答(29)
            ",54,35034,,上次登入：2016-06-05,【樺仔二手電腦】Panasonic CF-S10 I5雙核心 / 4G記憶體 / 250G 硬碟 堅固強悍的三防筆電
"
出價紀錄(28)
            ",itnken,680,36,"
問與答(14)
            ",24,13706,,上次登入：2016-06-05,☆REOK☆ ASUS 華碩 X550L X550C X550V X501A X502A繁體 中文 鍵盤 X550
"
出價紀錄(94)
            ",hsuan120,730,912,"
問與答(77)
            ",87,16520,,上次登入：2016-06-04,ThinkPad X200 UltraBase 擴展塢 船塢 底座 X200s X200t X201s 43R8781
"
出價紀錄(2)
            ",maylin051172,"4,599",98,"
問與答(0)
            ",2,897,,上次登入：2016-06-05,【 大胖電腦 】ACER 宏碁 Travelmate 4730筆電 高階 Intel雙核/4G/良品 直購價4599元
"
出價紀錄(5)
            ",casper319,"1,400",3,"
問與答(23)
            ",3,339,,上次登入：2016-06-04,IBM全系列 改LED燈管 其他機種故障維修皆可
"
出價紀錄(6)
            ",slf1224,"4,935",2,"
問與答(28)
            ",4,253,,上次登入：2016-06-04,ASUS W7雙核心獨顯13吋win7可玩線上遊戲 
"
出價紀錄(13)
            ",slf1224,"3,500",3,"
問與答(11)
            ",9,253,,上次登入：2016-06-04,IBM R60 筆電14吋win7使用中
"
出價紀錄(7)
            ",sentrataxi,900,95,"
問與答(3)
            ",5,1796,,上次登入：2016-06-04,☆【全新 華碩 原廠 Asus 19V 1.75A 33W 變壓器】☆ X205 X205TA
"
出價紀錄(30)
            ",itnken,380,21,"
問與答(12)
            ",29,13706,,上次登入：2016-06-05,英特奈 ASUS 華碩 X75V X75VB X75VC X75VD 繁體 中文 鍵盤 X75
"
出價紀錄(108)
            ",star9946,120,991,"
問與答(39)
            ",107,14467,,上次登入：2016-06-04,【小美的店】蘋果筆記本MacBook Air Pro 11.6 13.3 15寸電腦高清螢幕保護貼膜【CA8023】
"
出價紀錄(8)
            ",king651031,650,86,"
問與答(9)
            ",13,1245,,上次登入：2016-06-04,手機/平板 無線影音傳輸器手機平板無線 螢幕 傳輸器 ANNY EZ Cast波多野結衣
"
出價紀錄(145)
            ",oneonetwo,310,861,"
問與答(18)
            ",153,4289,,上次登入：2016-06-04,全新 宏碁 ACER Aspire AS 5810T 5410 5738G 5739G 5740G 5536 5552 5741 5742G 5745G 5749 5750G 5820T E732 繁體 中文 鍵盤
"
出價紀錄(10)
            ",ck0913123608,250,6,"
問與答(51)
            ",8,704,,上次登入：2016-06-05,Lenovo Thinkpad IBM T61 主板 R61 T60 X100 X200 R60 G580 主機板
"
出價紀錄(43)
            ",little_samuelliu,120,21,"
問與答(8)
            ",39,22533,,上次登入：2016-06-03,*樂源*ACER E5-573G-P65D 鍵盤膜15.6吋E5-573G-54FE E5-573G-546Y 78X7
"
出價紀錄(6)
            ",itnken,"1,000",53,"
問與答(3)
            ",6,13706,,上次登入：2016-06-05,英特奈 聯想 Lenovo ThinkPad X230 X230I X230T 04X1234 繁體 中文 鍵盤
"
出價紀錄(45)
            ",f67920,600,26,"
問與答(26)
            ",45,17192,,上次登入：2016-06-05,全新 東芝 Toshiba Satellite C850 C850D C855 C855D C870 C870D C875 C875D L850 L850D L855 L855D L875 L875D 繁體 中文 鍵盤
"
出價紀錄(10)
            ",itnken,340,50,"
問與答(6)
            ",18,13706,,上次登入：2016-06-05,☆REOK☆ ASUS 華碩 A54 A54C A54H A54HR A54HY A54L A54LY B53 B53A B53E B53F B53J B53S B53V B53Vc 繁體 中文 鍵盤 ASN53
"
出價紀錄(9)
            ",randyluten,465,991,"
問與答(6)
            ",8,12230,,上次登入：2016-06-05,【12吋】New Macbook 全新Macbook 12吋 版本 防震包 手提 筆電包 電腦包 皮套 保護套 手提包
"
出價紀錄(33)
            ",ccsung0602,700,49,"
問與答(13)
            ",50,5210,,上次登入：2016-06-04,必客喜3C~筆電原廠變壓器~全新原廠IBM / Lenovo 20V 4.5A 90W T60 T61 T200 T400 筆電專用變壓器
"
出價紀錄(34)
            ",laptop3c,800,78,"
問與答(56)
            ",26,1662,,上次登入：2016-06-05,Dell D/Bay 規格 第二顆硬碟轉接盒 Sata 硬碟抽取盒 第二硬碟盒 轉接盒 Dell Latitude D400 D500 Inspiron C400 C600
"
出價紀錄(3)
            ",hui4655,"8,888",1,"
問與答(6)
            ",3,3865,,上次登入：2016-06-04,☆寶藏點☆ 宅配免運 Acer p531h 筆電 雙核心/硬碟 160G/記憶體 1G附《變壓器+電源線》PP375
"
出價紀錄(10)
            ",itnken,470,45,"
問與答(6)
            ",8,13706,,上次登入：2016-06-05,英特奈 LENOVO 聯想 IdeaPad Z570 Z575 Z550 Z560 Z565 Z580 Z590 Z770 原廠 繁體中文ㄅㄆㄇ鍵盤 注音 倉頡 B570
"
出價紀錄(67)
            ",itnken,470,22,"
問與答(22)
            ",65,13706,,上次登入：2016-06-05,Acer 宏碁 全新 Aspire AS 5750ZG 5750G 5750Z   繁體 中文 鍵盤 F3 WIFI
"
出價紀錄(140)
            ",prettygirl99,138,9,"
問與答(92)
            ",156,14527,,上次登入：2016-06-05,柚子本舖★iphone 6S 6 plus note 4 note 5 玻璃貼 玻璃膜 鋼化 滿版 全幅 保護貼
"
出價紀錄(2)
            ",ck0913123608,"2,580",9,"
問與答(5)
            ",1,704,,上次登入：2016-06-05,華碩 ASUS A53S X53S A52J K53SJ K52D A55XI 15.6 LED 液晶 螢幕 液晶屏幕 保固三個月
"
出價紀錄(12)
            ",randyluten,495,988,"
問與答(2)
            ",11,12230,,上次登入：2016-06-05,【13吋】ASUS Transformer Book T300CHI 防震包 手提 筆電包 電腦包 皮套 保護套
